,player,player_id,season,team,conference,ATT,COMPLETIONS,INT,PCT,TD,YDS,YPA
398,Bo Nix,4426338.0,2022,Oregon,Pac-12,408,294,7,0.721,29,3594,8.8
3043,Luke Falk,550629.0,2017,Washington State,Pac-12,534,357,13,0.669,30,3593,6.7
3886,Sam Howell,4426875.0,2020,North Carolina,ACC,348,237,7,0.681,30,3586,10.3
4348,Trevone Boykin,517127.0,2015,TCU,Big 12,396,257,10,0.649,31,3575,9.0
3435,Nate Sudfeld,535825.0,2015,Indiana,Big Ten,412,247,7,0.6,27,3573,8.7
3953,Seth Henigan,4606194.0,2022,Memphis,American Athletic,446,286,8,0.641,22,3571,8.0
4311,Trace McSorley,3116172.0,2017,Penn State,Big Ten,427,284,10,0.665,28,3570,8.4
343,Ben Hicks,3916208.0,2017,SMU,American Athletic,472,276,12,0.585,33,3569,7.6
1737,Gunnar Watson,4362723.0,2023,Troy,Sun Belt,438,267,6,0.61,27,3557,8.1
1715,Greg Ward Jr.,545552.0,2016,Houston,American Athletic,469,319,13,0.68,22,3557,7.6
2523,Jordan Love,4036378.0,2018,Utah State,Mountain West,416,266,6,0.639,32,3552,8.5
2367,Jerod Evans,556465.0,2016,Virginia Tech,ACC,422,268,8,0.635,29,3552,8.4
256,Austin Aune,4360163.0,2022,North Texas,Conference USA,409,232,15,0.567,33,3547,8.7
928,Clayton Tune,4360175.0,2021,Houston,American Athletic,421,287,10,0.682,30,3546,8.4
2936,Lamar Jackson,3916387.0,2016,Louisville,ACC,409,230,9,0.562,30,3543,8.7
486,Brayden Schager,4709977.0,2023,Hawai'i,Mountain West,525,332,14,0.632,26,3542,6.7
1038,Cooper Rush,531455.0,2016,Central Michigan,Mid-American,465,278,16,0.598,23,3540,7.6
586,Bryce Perkins,3675812.0,2019,Virginia,ACC,496,320,12,0.645,22,3538,7.1
937,Cody Kessler,513329.0,2015,USC,Pac-12,446,298,7,0.668,29,3536,7.9
4661,Zach Terrell,532645.0,2016,Western Michigan,Mid-American,377,263,4,0.698,33,3533,9.4
405,Brad Kaaya,3123048.0,2016,Miami,ACC,421,261,7,0.62,27,3532,8.4
1699,Grant Wells,4430686.0,2021,Marshall,Conference USA,445,295,13,0.663,16,3532,7.9
4133,Tanner Mordecai,4360271.0,2022,SMU,American Athletic,443,288,10,0.65,33,3524,8.0
521,Brent Stockstill,545683.0,2018,Middle Tennessee,Conference USA,461,323,10,0.701,29,3522,7.6
4660,Zach Terrell,532645.0,2015,Western Michigan,Mid-American,391,262,9,0.67,29,3522,9.0
2652,K.J. Costello,4044431.0,2018,Stanford,Pac-12,411,267,11,0.65,29,3519,8.6
1345,Dillon Gabriel,4427238.0,2020,UCF,American Athletic,406,243,4,0.599,32,3517,8.7
3822,Ryan Finley,546288.0,2017,NC State,ACC,478,311,6,0.651,17,3514,7.4
2534,Jordan Ta'amu,4242418.0,2018,Ole Miss,SEC,376,240,8,0.638,18,3512,9.3
2748,Kedon Slovis,4428512.0,2019,USC,Pac-12,392,282,9,0.719,30,3502,8.9
1432,Drew Lock,3924327.0,2018,Missouri,SEC,437,275,8,0.629,28,3498,8.0
1950,Jack Abraham,4040407.0,2019,Southern Mississippi,Conference USA,405,275,15,0.679,19,3496,8.6
4573,Will Grier,559556.0,2017,West Virginia,Big 12,388,250,12,0.644,34,3490,9.0
79,Aidan O'Connell,4260394.0,2022,Purdue,Big Ten,497,319,13,0.642,22,3481,7.0
3671,Quinn Ewers,4889929.0,2023,Texas,Big 12,394,272,6,0.69,22,3479,8.8
2617,Justin Herbert,4038941.0,2019,Oregon,Pac-12,428,286,6,0.668,32,3471,8.1
90,Alan Bowman,4362159.0,2023,Oklahoma State,Big 12,501,304,14,0.607,15,3460,6.9
483,Brayden Fowler-Nicolosi,4833597.0,2023,Colorado State,Mountain West,470,292,16,0.621,22,3460,7.4
2606,Justice Hansen,3116379.0,2018,Arkansas State,Sun Belt,434,286,9,0.659,27,3447,7.9
437,Brandon Allen,515915.0,2015,Arkansas,SEC,370,244,8,0.659,30,3440,9.3
4088,TJ Finley,4431948.0,2023,Texas State,Sun Belt,414,279,8,0.674,24,3439,8.3
1321,Devin Leary,4361653.0,2021,NC State,ACC,431,283,5,0.657,35,3433,8.0
2077,Jake Browning,3886812.0,2016,Washington,Pac-12,391,243,9,0.621,43,3430,8.8
247,Austin Allen,547206.0,2016,Arkansas,SEC,401,245,15,0.611,25,3430,8.6
2524,Jordan Love,4036378.0,2019,Utah State,Mountain West,473,293,17,0.619,20,3402,7.2
1430,Drew Lock,3924327.0,2016,Missouri,SEC,434,237,10,0.546,23,3399,7.8
1812,Holton Ahlers,4360131.0,2019,East Carolina,American Athletic,442,264,10,0.597,21,3387,7.7
795,Chandler Rogers,4570554.0,2023,North Texas,American Athletic,422,262,5,0.621,29,3383,8.0
4121,Tanner Mangum,545796.0,2015,BYU,FBS Independents,446,267,10,0.599,23,3377,7.6
4158,Taulia Tagovailoa,4567097.0,2023,Maryland,Big Ten,437,290,11,0.664,25,3377,7.7
430,Brady White,3893630.0,2020,Memphis,American Athletic,418,252,10,0.603,31,3376,8.1
2288,Jaxson Dart,4689114.0,2023,Ole Miss,SEC,359,233,5,0.649,23,3364,9.4
3730,Richard Lagow,546687.0,2016,Indiana,Big Ten,438,253,17,0.578,19,3362,7.7
534,Brett Rypien,3722362.0,2015,Boise State,Mountain West,430,273,8,0.635,20,3353,7.8
1198,David Blough,3116188.0,2016,Purdue,Big Ten,518,295,21,0.569,25,3352,6.5
3191,Matt Corral,4362874.0,2020,Ole Miss,SEC,327,232,14,0.709,29,3352,10.3
734,Carter Bradley,4362260.0,2022,South Alabama,Sun Belt,426,276,12,0.648,28,3352,7.9
1270,Deondre Francois,3921561.0,2016,Florida State,ACC,400,235,7,0.588,20,3350,8.4
3192,Matt Corral,4362874.0,2021,Ole Miss,SEC,386,262,5,0.679,20,3349,8.7
1141,Dane Evans,532273.0,2016,Tulsa,American Athletic,435,259,12,0.595,32,3348,7.7
810,Chase Brice,4239994.0,2021,Appalachian State,Sun Belt,390,242,11,0.621,27,3337,8.6
1295,Desmond Ridder,4239086.0,2021,Cincinnati,American Athletic,387,251,8,0.649,30,3334,8.6
4017,Skyler Howard,3116460.0,2016,West Virginia,Big 12,404,247,10,0.611,26,3328,8.2
591,Bryce Young,4685720.0,2022,Alabama,SEC,380,245,5,0.645,32,3328,8.8
284,Austin Reed,4368343.0,2023,Western Kentucky,Conference USA,470,289,11,0.615,31,3324,7.1
3952,Seth Henigan,4606194.0,2021,Memphis,American Athletic,393,235,8,0.598,25,3322,8.5
417,Brady Cook,4429435.0,2023,Missouri,SEC,367,243,6,0.662,21,3302,9.0
4403,Ty Gangi,3122611.0,2018,Nevada,Mountain West,442,267,13,0.604,24,3302,7.5
3563,P.J. Walker,549759.0,2016,Temple,American Athletic,395,230,13,0.582,22,3295,8.3
3872,Sam Ehlinger,4241820.0,2018,Texas,Big 12,424,274,5,0.646,25,3294,7.8
608,Byrum Brown,4880272.0,2023,South Florida,American Athletic,426,276,11,0.648,26,3292,7.7
467,Brandon Silvers,546145.0,2017,Troy,Sun Belt,443,283,7,0.639,17,3290,7.4
4353,Trevor Lawrence,4360310.0,2018,Clemson,ACC,398,259,4,0.651,30,3280,8.2
4658,Zach Smith,4035409.0,2019,Tulsa,American Athletic,429,246,9,0.573,19,3279,7.6
2695,Kaleb Eleby,4362230.0,2021,Western Michigan,Mid-American,362,230,6,0.635,23,3277,9.1
2612,Justin Fields,4362887.0,2019,Ohio State,Big Ten,354,238,3,0.672,41,3273,9.2
3488,Nick Mullens,552880.0,2016,Southern Mississippi,Conference USA,384,243,11,0.633,24,3272,8.5
3130,Manny Wilkins,3128814.0,2017,Arizona State,Pac-12,410,260,8,0.634,20,3270,8.0
2880,Kurtis Rourke,4430431.0,2022,Ohio,Mid-American,353,244,4,0.691,25,3256,9.2
1215,Davis Brin,4362365.0,2021,Tulsa,American Athletic,410,243,16,0.593,18,3254,7.9
4136,Tanner Morgan,4240756.0,2019,Minnesota,Big Ten,318,210,7,0.66,30,3253,10.2
428,Brady White,3893630.0,2018,Memphis,American Athletic,390,245,9,0.628,26,3252,8.3
404,Brad Kaaya,3123048.0,2015,Miami,ACC,390,239,5,0.613,16,3242,8.3
858,Chevan Cordeiro,4373934.0,2022,San José State,Mountain West,426,259,6,0.608,23,3242,7.6
3594,Payton Thorne,4430590.0,2021,Michigan State,Big Ten,389,235,10,0.604,27,3240,8.3
1453,Dustin Crum,4244068.0,2021,Kent State,Mid-American,382,245,6,0.641,20,3238,8.5
3974,Shane Morris,546706.0,2017,Central Michigan,Mid-American,446,249,17,0.558,27,3237,7.3
519,Brent Stockstill,545683.0,2016,Middle Tennessee,Conference USA,414,262,7,0.633,31,3233,7.8
3996,Shedeur Sanders,4432762.0,2023,Colorado,Pac-12,430,298,3,0.693,27,3230,7.5
1636,Gavin Hardison,4575668.0,2021,UTEP,Conference USA,357,198,13,0.555,18,3218,9.0
706,Cameron Ward,4688380.0,2022,Washington State,Pac-12,496,319,9,0.643,23,3218,6.5
2540,Jordan Travis,4360799.0,2022,Florida State,ACC,353,226,5,0.64,24,3214,9.1
2793,Kenny Hill,549865.0,2016,TCU,Big 12,440,269,13,0.611,17,3208,7.3
2874,Kurt Benkert,545645.0,2017,Virginia,ACC,509,298,9,0.585,25,3207,6.3
1980,Jack Plummer,4361493.0,2023,Louisville,ACC,395,256,12,0.648,21,3204,8.1
2567,Josh Allen,3918298.0,2016,Wyoming,Mountain West,373,209,15,0.56,28,3203,8.6
3645,Preston Stone,4432767.0,2023,SMU,American Athletic,344,206,6,0.599,28,3197,9.3
2471,John Wolford,3124092.0,2017,Wake Forest,ACC,374,239,6,0.639,29,3192,8.5
560,Brock Purdy,4361741.0,2021,Iowa State,Big 12,407,292,8,0.717,19,3188,7.8
4030,Spencer Rattler,4426339.0,2023,South Carolina,SEC,399,275,8,0.689,19,3186,8.0
3211,Matt Linehan,553235.0,2016,Idaho,Sun Belt,415,257,10,0.619,19,3184,7.7
922,Clayton Thorson,3116144.0,2016,Northwestern,Big Ten,478,280,9,0.586,22,3182,6.7
924,Clayton Thorson,3116144.0,2018,Northwestern,Big Ten,490,298,15,0.608,17,3181,6.5
466,Brandon Silvers,546145.0,2016,Troy,Sun Belt,460,293,11,0.637,23,3180,6.9
1577,Frank Harris,4245186.0,2021,UT San Antonio,Conference USA,398,263,6,0.661,27,3177,8.0
2079,Jake Browning,3886812.0,2018,Washington,Pac-12,386,251,10,0.65,16,3173,8.2
2071,Jake Bentley,4038809.0,2018,South Carolina,SEC,388,240,14,0.619,27,3171,8.2
2225,Jaren Hall,4373632.0,2022,BYU,FBS Independents,376,248,6,0.66,31,3171,8.4
2903,Kyle McCord,4433971.0,2023,Ohio State,Big Ten,348,229,6,0.658,24,3170,9.1
1347,Dillon Gabriel,4427238.0,2022,Oklahoma,Big 12,367,230,6,0.627,25,3168,8.6
802,Charlie Brewer,4241222.0,2019,Baylor,Big 12,389,251,7,0.645,21,3161,8.1
1895,J'Mar Smith,3914382.0,2018,Louisiana Tech,Conference USA,460,263,10,0.572,15,3159,6.9
2249,Jarrett Stidham,3892775.0,2017,Auburn,SEC,370,246,6,0.665,18,3158,8.5
819,Chase Cunningham,4291782.0,2022,Middle Tennessee,Conference USA,463,309,10,0.667,21,3156,6.8
4355,Trevor Lawrence,4360310.0,2020,Clemson,ACC,334,231,5,0.692,24,3153,9.4
1396,Dorian Thompson-Robinson,4367178.0,2022,UCLA,Pac-12,381,265,10,0.696,27,3153,8.3
2794,Kenny Hill,549865.0,2017,TCU,Big 12,400,269,8,0.673,23,3152,7.9
2616,Justin Herbert,4038941.0,2018,Oregon,Pac-12,404,240,8,0.594,29,3151,7.8
1962,Jack Coan,4242331.0,2021,Notre Dame,FBS Independents,385,253,7,0.657,25,3150,8.2
1001,Conner Manning,550226.0,2017,Georgia State,Sun Belt,403,259,7,0.643,14,3146,7.8
4016,Skyler Howard,3116460.0,2015,West Virginia,Big 12,403,221,14,0.548,26,3145,7.8
4120,Tanner Lee,545757.0,2017,Nebraska,Big Ten,428,246,16,0.575,23,3143,7.3
1795,Hendon Hooker,4240858.0,2022,Tennessee,SEC,329,229,2,0.696,27,3135,9.5
2026,Jacob Eason,4035003.0,2019,Washington,Pac-12,405,260,8,0.642,23,3132,7.7
4508,Tyree Jackson,3916564.0,2018,Buffalo,Mid-American,407,225,12,0.553,28,3131,7.7
1019,Connor Cook,512705.0,2015,Michigan State,Big Ten,408,229,7,0.561,24,3131,7.7
2912,Kyle Shurmur,3915776.0,2018,Vanderbilt,SEC,406,254,6,0.626,24,3130,7.7
1814,Holton Ahlers,4360131.0,2021,East Carolina,American Athletic,414,256,10,0.618,18,3126,7.6
2043,Jacob Zeno,4426417.0,2023,UAB,American Athletic,379,279,9,0.736,20,3126,8.2
330,Ben Bryant,4360056.0,2021,Eastern Michigan,Mid-American,408,279,7,0.684,14,3121,7.6
3766,Rocco Becht,4801299.0,2023,Iowa State,Big 12,367,231,8,0.629,23,3120,8.5
834,Chase Litton,3931782.0,2017,Marshall,Conference USA,443,266,14,0.6,25,3115,7.0
3106,Malik Rosier,3123047.0,2017,Miami,ACC,414,223,14,0.539,26,3111,7.5
2080,Jake Coker,514124.0,2015,Alabama,SEC,393,263,8,0.669,21,3110,7.9
3929,Sean Clifford,4259592.0,2021,Penn State,Big Ten,428,261,8,0.61,21,3107,7.3
2799,Kenny Pickett,4240703.0,2019,Pittsburgh,ACC,469,289,9,0.616,13,3098,6.6
2765,Kellen Mond,4240904.0,2018,Texas A&M,SEC,412,237,9,0.575,24,3098,7.5
2495,Jon Wassink,3916726.0,2019,Western Michigan,Mid-American,407,241,8,0.592,20,3097,7.6
1979,Jack Plummer,4361493.0,2022,California,Pac-12,451,282,9,0.625,21,3096,6.9
3967,Shane Buechele,4039034.0,2020,SMU,American Athletic,367,242,6,0.659,23,3095,8.4
4445,Tyler Huntley,4035671.0,2019,Utah,Pac-12,301,220,4,0.731,19,3092,10.3
3174,Mason Fine,4039073.0,2019,North Texas,Conference USA,414,257,9,0.621,29,3088,7.5
3523,Nick Vattiato,4682518.0,2023,Middle Tennessee,Conference USA,428,286,13,0.668,23,3087,7.2
3869,Sam Darnold,3912547.0,2016,USC,Pac-12,366,246,9,0.672,31,3086,8.4
2307,Jayden Maiava,4685454.0,2023,UNLV,Mountain West,353,224,10,0.635,17,3085,8.7
544,Brian Lewerke,3929824.0,2019,Michigan State,Big Ten,435,260,13,0.598,17,3079,7.1
1756,Hank Bachmeier,4426499.0,2021,Boise State,Mountain West,401,252,8,0.628,20,3079,7.7
1477,E.J. Warner,4916436.0,2023,Temple,American Athletic,445,256,12,0.575,23,3076,6.9
3338,Mike Glass III,4259127.0,2019,Eastern Michigan,Mid-American,391,261,11,0.668,23,3074,7.9
3161,Marquise Williams,516347.0,2015,North Carolina,ACC,357,219,10,0.613,24,3072,8.6
4038,Stephen Calvert,4029885.0,2018,Liberty,FBS Independents,439,240,18,0.547,21,3068,7.0
3995,Shea Patterson,4035292.0,2019,Michigan,Big Ten,381,214,8,0.562,23,3061,8.0
3887,Sam Howell,4426875.0,2021,North Carolina,ACC,347,217,9,0.625,24,3056,8.8
3821,Ryan Finley,546288.0,2016,NC State,ACC,402,243,8,0.604,18,3055,7.6
1913,J.T. Barrett,545624.0,2017,Ohio State,Big Ten,371,240,9,0.647,35,3053,8.2
2966,Levi Lewis,4241556.0,2019,Louisiana,Sun Belt,377,243,4,0.645,26,3050,8.1
2236,Jarret Doege,4244029.0,2021,West Virginia,Big 12,417,272,12,0.652,19,3048,7.3
1822,Hunter Dekkers,4565358.0,2022,Iowa State,Big 12,457,302,14,0.661,19,3044,6.7
3790,Ross Bowers,3858269.0,2017,California,Pac-12,461,272,12,0.59,18,3039,6.6
1842,Ian Book,4046678.0,2019,Notre Dame,FBS Independents,399,240,6,0.602,34,3034,7.6
704,Cameron Rising,4362075.0,2022,Utah,Pac-12,385,249,8,0.647,26,3034,7.9
4027,Spencer Rattler,4426339.0,2020,Oklahoma,Big 12,317,214,7,0.675,28,3031,9.6
