player,player_id,position,Season,Draft Class,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,weighted_blocking_grade,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_rg,snap_counts_rt,snap_counts_te,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_run_block
Greg Mancz,10019,C,2014,2015,TOLEDO,11,100,0,316,94.8,88.5,94.8,91.8,1,3,339,100,100,99.4,1,4,0,749,749,0,0,0,0,0,749,358,358,391
Bernhard Raimann,77948,T,2021,2022,C MICHIGAN,12,100,1,134,94.6,88.7,94.6,91.5,3,6,456,100,100,98.8,4,10,1,895,0,1,890,0,0,3,895,475,475,420
Jack Conklin,10642,T,2015,2016,MICH STATE,12,100,0,223,94.6,89.2,93.9,91.6,3,9,391,100,100,98.2,3,13,1,833,0,10,811,0,0,12,833,416,416,417
Austin Blythe,10882,C,2015,2016,IOWA,14,100,0,192,94.4,80.0,95.4,87.8,2,12,435,100,100,97.9,3,16,2,943,943,0,0,0,0,0,943,463,463,480
Axel Ruschmeyer,55236,G,2021,2023,MINNESOTA,13,95.4,0,225,94.3,70.7,87.6,85.3,0,0,34,77.3,74.5,100,4,0,0,249,0,40,0,11,1,198,261,35,47,214
Chase Roullier,11954,G,2015,2017,WYOMING,12,100,0,351,94.3,87.7,94.2,91.1,1,4,369,100,100,99.1,2,6,1,825,0,825,0,0,0,0,825,391,391,434
Cody Whitehair,10690,T,2015,2016,KANSAS ST,13,100,1,199,94.3,85.1,94.7,90.1,1,11,400,100,100,98,4,14,2,895,0,0,895,0,0,0,895,427,427,468
Stone Underwood,20007,C,2015,2016,W VIRGINIA,9,100,0,343,94.2,89.0,90.9,90.1,0,0,93,100,100,100,0,0,0,230,88,142,0,0,0,0,230,96,96,134
Isaac Seumalo,10713,G,2015,2016,OREGON ST,12,100,0,265,94.0,92.6,94.4,93.5,0,4,382,100,100,99.5,4,4,0,807,0,0,187,618,0,1,807,405,405,402
Josh Jones,26634,T,2019,2020,HOUSTON,9,100,0,182,93.4,91.2,92.7,91.9,0,2,296,100,100,99.7,2,2,0,635,0,0,635,0,0,0,635,325,325,310
Jesse Chapman,17725,C,2015,2016,APP STATE,13,100,0,108,93.0,87.1,93.0,90.7,0,5,284,100,100,98.8,2,6,1,794,794,0,0,0,0,0,794,306,306,488
Adam Bisnowaty,11955,T,2014,2017,PITTSBURGH,11,100,0,268,92.8,68.2,94.5,84.0,2,10,278,100,100,97.1,4,14,2,729,0,216,490,0,23,0,729,290,290,439
Andrew Thomas,59701,T,2019,2020,GEORGIA,13,100,1,173,92.7,89.0,91.7,90.3,0,8,382,100,100,98.7,2,9,1,817,0,0,816,0,0,1,817,410,410,407
La'el Collins,9719,T,2014,2015,LSU,13,100,0,211,92.7,92.2,90.7,91.3,0,4,310,100,100,99.4,3,4,0,854,0,0,852,0,0,2,854,332,332,522
Cain Madden,41602,G,2020,2022,MARSHALL,9,100,0,214,92.5,82.0,93.0,87.8,0,6,255,100,100,98.8,1,6,0,573,0,0,0,572,0,0,573,273,273,300
Forrest Lamp,11793,T,2015,2017,W KENTUCKY,14,100,0,346,92.4,88.2,92.1,89.8,6,8,575,100,100,98.6,5,15,1,1005,0,0,1003,0,0,0,1005,596,596,409
John Michael Schmitz Jr.,55238,C,2022,2023,MINNESOTA,12,100,0,225,92.3,81.0,92.4,87.9,1,5,286,100,100,98.3,3,8,2,767,767,0,0,0,0,0,767,302,302,465
Tyler Smith,98385,T,2021,2022,TULSA,12,100,3,320,92.3,75.3,93.9,84.8,2,5,412,100,100,98.7,16,9,2,909,0,0,908,0,0,1,909,446,446,463
Tristan Wirfs,64818,T,2019,2020,IOWA,13,100,1,192,92.3,88.7,91.8,90.1,2,3,436,100,100,99,3,7,2,855,0,0,160,0,694,0,855,461,461,394
Ryan Ramczyk,11787,T,2016,2017,WISCONSIN,14,100,0,349,92.3,84.7,91.4,88.8,3,8,364,100,100,98.2,2,12,1,978,0,0,978,0,0,0,978,373,373,605
Frank Ragnow,39137,C,2016,2018,ARKANSAS,13,100,0,111,92.3,74.5,94.2,84.1,3,9,458,100,100,98.7,4,12,0,949,885,0,0,64,0,0,949,487,487,462
Luke Goedeke,77548,T,2021,2022,C MICHIGAN,10,100,1,134,92.2,77.8,94.3,84.8,3,4,410,100,100,99.1,5,7,0,742,0,0,0,1,738,3,742,425,425,317
Quenton Nelson,12954,G,2017,2018,NOTRE DAME,13,100,0,258,92.2,90.9,92.0,91.5,1,3,411,100,100,99.3,3,5,1,883,0,883,0,0,0,0,883,430,430,453
Joe Thuney,10712,T,2015,2016,NC STATE,13,100,2,248,92.2,92.3,92.5,92.4,1,4,471,100,100,99,7,7,2,922,0,29,888,0,0,4,922,485,485,437
Matt Skura,11102,C,2015,2016,DUKE,13,100,0,154,92.2,83.4,93.3,87.9,5,9,531,100,100,98.7,1,14,0,1033,1033,0,0,0,0,0,1033,567,567,466
Kevin Dotson,46735,G,2019,2020,LA LAFAYET,14,100,2,207,92.1,85.2,92.3,88.9,0,2,391,100,100,99.5,3,3,1,847,0,0,0,847,0,0,847,411,411,436
Forrest Lamp,11793,T,2016,2017,W KENTUCKY,12,100,0,346,92.1,95.5,85.7,91.2,2,2,404,100,100,99.5,1,4,0,734,0,0,734,0,0,0,734,415,415,319
Matt Rotheram,9933,G,2014,2015,PITTSBURGH,13,100,0,268,92.1,83.1,92.2,88.6,3,7,354,100,100,98.3,4,11,1,934,0,0,0,934,0,0,934,373,373,561
Teven Jenkins,41534,T,2020,2021,OKLA STATE,7,100,1,262,92.0,76.3,93.6,85.5,2,2,197,100,100,99,4,4,0,448,0,0,32,0,416,0,448,211,211,237
Will Hernandez,46180,G,2016,2018,UTEP,12,100,0,330,92.0,94.8,92.3,93.6,0,1,363,100,100,99.9,3,1,0,741,0,741,0,0,0,0,741,380,380,361
Taylor Moton,11819,G,2015,2017,W MICHIGAN,13,100,1,347,92.0,77.4,94.8,85.8,3,6,448,100,100,98.8,4,10,1,919,0,0,2,891,2,24,919,473,473,446
Darian Kinnard,51789,T,2021,2022,KENTUCKY,13,100,0,202,91.9,87.8,91.8,89.8,2,4,402,100,100,99,4,7,1,825,0,0,0,0,822,3,825,414,414,411
Mike McGlinchey,46275,T,2017,2018,NOTRE DAME,13,100,0,258,91.9,82.6,92.0,87.5,2,11,411,100,100,97.7,3,16,3,889,0,0,889,0,0,0,889,430,430,459
Joe Alt,147481,T,2022,2024,NOTRE DAME,12,100,0,258,91.8,85.6,90.8,88.4,2,3,353,100,100,99.3,1,5,0,807,0,0,805,0,0,2,807,370,370,437
Thayer Munford Jr.,59994,T,2020,2022,OHIO STATE,7,100,0,260,91.8,87.6,90.3,88.9,0,3,248,100,100,99.4,0,3,0,512,0,0,512,0,0,0,512,264,264,248
Spencer Drango,10802,T,2015,2016,BAYLOR,13,100,1,118,91.8,88.6,91.0,90.0,2,4,404,100,100,99.3,6,6,0,1029,0,0,970,0,0,59,1029,430,430,599
Clint Van Horn,12228,T,2014,2017,MARSHALL,14,100,0,214,91.8,86.1,92.0,88.8,1,3,514,100,100,99.2,8,6,2,1005,0,0,0,0,1005,0,1005,548,548,457
Khalil Keith,58528,T,2021,2023,BAYLOR,12,100,1,118,91.7,75.5,91.2,84.9,3,4,205,100,100,98.3,4,7,0,530,0,0,0,0,530,0,530,213,213,317
Ikem Ekwonu,98286,T,2021,2022,NC STATE,12,100,0,248,91.6,78.3,93.8,84.3,0,10,476,100,100,98.3,4,13,3,819,0,0,819,0,0,0,819,500,500,319
Tyler Linderbaum,82291,C,2020,2022,IOWA,8,100,0,192,91.5,87.3,90.6,88.9,2,1,267,100,100,99.4,1,3,0,545,545,0,0,0,0,0,545,280,280,265
Darian Kinnard,51789,T,2020,2022,KENTUCKY,11,100,0,202,91.5,75.3,91.9,84.7,2,7,281,100,100,97.7,1,11,2,698,0,0,0,2,695,0,698,304,304,394
Sean Welsh,46711,G,2015,2018,IOWA,14,100,0,192,91.5,70.4,94.9,82.7,2,10,400,100,100,97.7,5,15,3,855,0,689,0,22,144,0,855,426,426,429
Jake Fuzak,44882,T,2020,2022,BUFFALO,7,100,0,126,91.4,86.1,88.9,87.9,0,1,156,100,100,99.7,0,1,0,454,0,0,0,0,454,0,454,168,168,286
Jack Conklin,10642,T,2014,2016,MICH STATE,13,100,0,223,91.4,84.1,90.2,87.4,1,8,413,100,100,98.2,2,12,3,958,0,0,937,0,0,21,958,433,433,525
Shaq Mason,9564,G,2014,2015,GA TECH,14,100,0,176,91.4,72.4,90.3,85.8,1,3,227,100,100,98.7,1,5,1,966,0,0,0,966,0,0,966,242,242,724
Kyle Costigan,38394,G,2014,2015,WISCONSIN,14,100,0,349,91.4,69.3,92.4,83.6,2,14,346,100,100,97.1,5,18,2,953,0,0,0,952,1,0,953,362,362,591
Kayode Awosika,44909,T,2020,2021,BUFFALO,7,100,0,126,91.3,77.5,90.4,85.6,0,0,156,100,100,99.4,1,1,1,450,0,0,439,0,0,11,450,168,168,282
Landon Dickerson,41712,C,2020,2021,ALABAMA,12,100,0,103,91.3,76.2,92.8,83.9,2,2,363,100,100,99.2,3,5,1,716,685,31,0,0,0,0,716,385,385,331
Isaiah Wynn,46048,T,2017,2018,GEORGIA,15,100,0,173,91.3,85.0,90.9,88.6,0,3,328,100,100,98.9,4,5,2,903,0,0,900,0,0,3,903,346,346,557
Connor Williams,46216,T,2016,2018,TEXAS,11,100,0,311,91.3,87.1,90.1,88.7,0,3,421,100,100,99.4,3,4,1,956,0,0,939,0,0,17,956,445,445,511
Nick Wilson,28843,G,2016,2018,STANFORD,13,95.4,0,300,91.3,71.9,84.5,84.0,0,0,6,50,46.2,100,1,0,0,144,0,12,0,0,0,123,151,6,13,138
Jon Toth,22917,C,2015,2017,KENTUCKY,12,100,1,202,91.3,89.0,92.1,90.3,3,4,464,100,100,99,4,8,1,837,837,0,0,0,0,0,837,494,494,343
Danny Pinter,47339,T,2019,2020,BALL ST,12,99.9,0,117,91.2,77.8,90.9,84.4,1,14,434,99.8,99.8,98,2,16,1,922,0,0,0,0,923,0,923,460,461,462
Cody Wichmann,9648,G,2014,2015,FRESNO ST,14,100,0,169,91.2,88.7,91.4,89.9,2,6,603,100,100,99,2,10,2,1111,0,6,0,1105,0,0,1111,633,633,478
A.J. Ruechel,17720,G,2015,2016,AIR FORCE,14,100,0,101,91.1,71.9,90.5,86.9,0,4,176,100,100,98.9,3,4,0,953,0,0,0,953,0,0,953,184,184,769
Laremy Tunsil,10647,T,2015,2016,OLE MISS,6,99.8,0,226,91.1,83.7,90.6,86.6,0,5,224,100,100,98.9,4,5,0,407,0,0,407,0,0,1,408,235,235,172
Wyatt Teller,46131,G,2015,2018,VA TECH,13,100,0,337,91.1,70.6,96.2,83.3,3,13,442,100,100,97.5,8,19,3,933,0,933,0,0,0,0,933,470,470,463
Ryne Reeves,18677,C,2014,2016,NEBRASKA,10,100,1,238,91.1,77.2,89.2,84.8,0,0,108,100,100,100,2,0,0,304,304,0,0,0,0,0,304,112,112,192
Shon Coleman,10710,T,2015,2016,AUBURN,12,100,1,115,91.0,82.5,88.5,86.2,0,8,309,100,100,98.1,2,10,2,832,0,0,717,0,0,112,832,321,321,511
Jamal Price,14906,G,2014,2015,NEW MEXICO,12,100,0,241,91.0,77.8,90.0,87.0,0,4,173,100,100,98.8,1,4,0,749,0,0,0,749,0,0,749,183,183,566
Jack Snyder,41119,T,2020,2022,S JOSE ST,8,100,0,285,90.9,88.0,88.7,88.3,1,3,311,100,100,99.4,1,4,0,554,0,0,553,0,0,1,554,334,334,220
Sam Cosmi,60114,T,2020,2021,TEXAS,8,100,0,311,90.8,90.7,86.4,89.0,1,5,338,100,100,98.5,0,8,2,605,0,0,605,0,0,0,605,368,368,237
Cole Van Lanen,41583,T,2018,2021,WISCONSIN,13,100,0,349,90.8,76.1,90.0,84.5,1,3,209,100,100,98.1,0,6,2,560,0,0,560,0,0,0,560,223,223,337
Orlando Brown Jr.,46227,T,2017,2018,OKLAHOMA,14,100,0,261,90.8,85.9,89.4,87.6,0,10,478,100,100,98.7,4,11,1,953,0,0,947,0,6,0,953,497,497,456
Sean Welsh,46711,G,2016,2018,IOWA,12,100,0,192,90.8,78.8,92.7,86.5,1,8,323,100,100,98.6,3,9,0,734,0,0,0,654,80,0,734,330,330,404
Robert Leff,12027,T,2016,2017,AUBURN,13,100,0,115,90.8,80.9,89.9,86.4,1,10,329,100,100,97.7,1,13,2,884,0,0,0,2,877,4,884,345,345,539
Jacob Richard,17669,C,2014,2016,BALL ST,12,100,0,117,90.8,89.3,90.4,89.8,0,5,427,100,100,99.2,3,6,1,869,869,0,0,0,0,0,869,445,445,424
Terry Johnson,15287,C,2014,2015,LA LAFAYET,13,100,1,207,90.8,78.9,91.9,85.7,3,9,409,100,100,98.5,2,12,0,892,892,0,0,0,0,0,892,423,423,469
Joe Alt,147481,T,2023,2024,NOTRE DAME,12,99.9,0,258,90.7,91.2,86.5,88.9,2,2,347,99.7,99.7,99.1,2,5,1,712,0,0,697,0,0,16,713,368,369,344
Dalton Risner,47008,T,2018,2019,KANSAS ST,12,99.9,0,199,90.7,90.6,85.4,87.8,3,2,352,100,99.7,99.3,1,5,0,815,0,0,0,0,816,0,816,374,375,441
Will Clapp,39386,G,2015,2018,LSU,12,100,0,211,90.7,82.4,91.2,87.6,3,8,303,100,100,98.2,4,11,0,780,0,93,0,687,0,0,780,323,323,457
Dylan Parham,60953,T,2020,2022,MEMPHIS,11,100,0,218,90.6,87.6,89.8,88.5,2,6,468,100,100,98.9,3,9,1,849,0,0,0,0,849,0,849,502,502,347
Sebastian Tretola,10827,G,2015,2016,ARKANSAS,13,100,0,111,90.6,74.7,92.0,83.8,4,6,409,100,100,97.8,2,14,4,888,0,886,0,2,0,0,888,420,420,468
Mike Ebert,46661,G,2015,2017,TOLEDO,12,100,1,316,90.6,72.8,93.6,83.4,1,9,419,100,100,98.8,4,10,0,892,0,0,0,892,0,0,892,438,438,454
James Atoe,15530,G,2014,2015,WASHINGTON,14,100,0,340,90.6,86.9,90.1,88.5,2,10,395,100,100,98.5,3,12,0,836,0,0,0,486,342,8,836,410,410,426
Jacob Gall,55024,G,2020,2023,BUFFALO,7,100,0,126,90.5,86.9,89.4,88.5,2,0,156,100,100,99.4,1,2,0,454,0,363,11,80,0,0,454,168,168,286
Scott Hattok,58457,T,2019,2020,AIR FORCE,13,99.8,0,101,90.5,83.8,88.4,87.6,1,1,128,98.5,98.6,99.2,3,2,0,816,0,0,0,0,653,165,818,140,142,676
Cody Whitehair,10690,T,2014,2016,KANSAS ST,13,100,1,199,90.5,92.0,83.9,88.4,2,3,460,100,100,99,3,7,2,880,0,0,878,0,0,2,880,490,490,390
Dorian Johnson,11870,G,2014,2017,PITTSBURGH,13,100,1,268,90.5,84.5,90.8,88.4,0,1,270,100,100,99.4,2,2,1,733,0,733,0,0,0,0,733,285,285,448
Darius Johnson,11304,T,2014,2016,MIDDLE TN,12,100,1,224,90.5,79.4,91.7,85.7,1,15,409,100,100,97.8,7,17,1,879,0,0,876,0,3,0,879,426,426,453
Nathan Boe,81731,G,2022,2024,MINNESOTA,11,100,0,225,90.3,87.1,89.1,88.5,0,0,48,100,100,100,1,0,0,165,36,85,0,44,0,0,165,53,53,112
Blake Freeland,102844,T,2022,2023,BYU,12,100,0,128,90.3,90.1,85.8,88.2,3,4,419,100,100,99.2,2,7,0,805,0,0,805,0,0,0,805,446,446,359
Frank Ragnow,39137,C,2017,2018,ARKANSAS,7,100,0,111,90.3,86.3,90.8,88.4,0,3,239,100,100,99.4,3,3,0,488,415,0,0,73,0,0,488,256,256,232
Max Scharping,46961,G,2015,2019,N ILLINOIS,14,100,0,254,90.3,88.1,88.9,88.5,1,5,445,100,100,98.4,2,10,4,977,0,0,0,531,446,0,977,459,459,518
Will Hernandez,46180,G,2015,2018,UTEP,12,100,1,330,90.3,86.7,90.3,88.4,3,4,422,100,100,98.9,3,8,1,842,0,840,1,1,0,0,842,438,438,404
Tyrell Crosby,38897,T,2015,2018,OREGON,13,100,3,264,90.3,75.3,92.0,84.2,1,15,425,100,100,97.4,10,19,3,932,0,0,41,0,888,3,932,438,438,494
Kaleb Holcomb,145960,T,2022,2024,AIR FORCE,12,100,0,101,90.2,81.0,86.4,85.9,0,1,37,100,100,98.6,2,1,0,378,0,0,12,0,366,0,378,38,38,340
Matt Peart,46179,T,2019,2020,UCONN,12,100,0,146,90.2,86.0,90.3,88.0,1,4,397,100,100,98.9,6,7,2,774,0,0,1,0,773,0,774,415,415,359
Joey Hunt,10849,C,2015,2016,TCU,10,100,0,305,90.2,91.3,89.9,90.7,0,3,444,100,100,99.7,5,3,0,814,814,0,0,0,0,0,814,471,471,343
Tommy Boynton,12611,T,2015,2018,GA SOUTHRN,13,100,0,174,90.2,65.0,89.0,84.1,1,8,152,100,100,96.4,3,10,1,835,0,0,0,0,829,6,835,169,169,666
Andrew Vorhees,60818,G,2021,2023,USC,12,100,0,326,90.1,90.7,90.5,90.6,2,11,504,100,100,98.7,3,13,0,902,0,500,402,0,0,0,902,544,544,358
Joe Lowery,46318,T,2018,2019,OHIO,13,99.9,1,259,90.1,86.3,86.4,86.4,0,7,338,99.7,99.7,98.4,4,9,2,810,0,0,811,0,0,0,811,360,361,450
Scott Hattok,58457,T,2017,2020,AIR FORCE,11,99.6,0,101,90.1,64.1,89.3,84.4,0,4,50,98,98.1,94,1,5,1,273,0,0,247,0,0,24,274,53,54,220
Jarell Broxton,11092,G,2015,2016,BAYLOR,13,100,0,118,90.1,90.9,91.7,91.4,1,0,360,100,100,99.9,10,1,0,941,0,82,0,859,0,0,941,386,386,555
Tyler Orlosky,12256,C,2015,2017,W VIRGINIA,13,100,0,343,90.1,89.2,89.9,89.6,1,4,460,100,100,99.2,2,6,1,995,995,0,0,0,0,0,995,486,486,509
Brandon Scherff,9438,T,2014,2015,IOWA,13,100,0,192,90.1,77.4,91.1,83.8,9,14,483,100,100,97.4,3,24,1,950,0,0,950,0,0,0,950,505,505,445
Blake Brandel,46282,T,2019,2020,OREGON ST,12,100,0,265,90.0,93.1,82.5,88.5,0,4,454,100,100,99.3,1,5,1,839,0,0,839,0,0,0,839,473,473,366
Rashawn Slater,59971,T,2019,2020,NWESTERN,11,100,1,256,90.0,87.4,89.1,88.3,1,4,328,100,100,99.2,8,5,0,787,0,0,783,0,0,4,787,355,355,432
James Daniels,45576,C,2017,2018,IOWA,12,100,1,192,90.0,73.7,91.1,82.5,1,5,371,100,100,98.4,4,9,3,785,785,0,0,0,0,0,785,387,387,398
Cody O'Connell,46154,G,2016,2018,WASH STATE,13,100,0,341,90.0,93.7,91.7,93.1,1,4,647,100,100,99.5,4,6,1,970,0,969,1,0,0,0,970,690,690,280
Forrest Lamp,11793,T,2014,2017,W KENTUCKY,13,100,0,346,90.0,92.6,83.3,88.9,1,8,593,100,100,98.9,2,11,2,1010,0,0,1010,0,0,0,1010,611,611,399
Liam Eichenberg,41851,T,2020,2021,NOTRE DAME,12,100,0,258,89.9,83.8,90.1,86.7,1,14,428,100,100,98.2,4,15,0,834,0,0,833,0,0,0,834,455,455,379
Jamie Collmar,23992,G,2015,2017,APP STATE,12,100,0,108,89.9,83.6,89.1,87.1,1,3,183,100,100,98.9,1,4,0,542,0,26,0,516,0,0,542,197,197,345
Wes Schweitzer,10829,T,2015,2016,S JOSE ST,13,100,0,285,89.9,83.3,88.5,85.8,4,8,468,100,100,97.9,1,16,4,931,0,0,898,0,0,32,931,486,486,445
Kyle Murphy,10834,T,2015,2016,STANFORD,14,99.9,1,300,89.8,84.6,88.6,87.0,3,7,348,99.7,99.7,97.7,4,13,3,905,0,0,900,0,0,5,906,373,374,532
Braden Smith,46794,G,2016,2018,AUBURN,13,99.7,0,115,89.7,90.7,88.5,89.3,0,3,321,99.1,99.1,98.9,1,5,2,873,0,0,0,793,3,79,876,337,340,536
Landon Turner,11237,G,2015,2016,N CAROLINA,14,100,0,245,89.7,86.2,92.0,89.0,2,5,443,100,100,99,4,8,1,913,0,16,0,897,0,0,913,467,467,446
Robert Hainsey,59980,T,2020,2021,NOTRE DAME,12,100,0,258,89.6,80.3,88.0,83.7,2,13,435,100,100,97.8,0,17,2,836,0,0,0,0,835,0,836,462,462,374
Boston Stiverson,11128,G,2015,2016,KANSAS ST,9,100,0,199,89.6,82.8,90.2,86.5,3,4,276,100,100,98.7,1,7,0,588,0,588,0,0,0,0,588,296,296,292
Peter Skoronski,129737,T,2022,2023,NWESTERN,12,99.9,1,256,89.5,93.0,81.7,87.8,2,3,457,99.8,99.8,99.2,5,6,1,881,0,0,871,0,0,11,882,474,475,407
Brett Neilon,55555,C,2022,2023,USC,12,100,1,326,89.4,90.0,88.0,89.2,0,7,466,100,100,99.2,1,7,0,847,847,0,0,0,0,0,847,502,502,345
Colton Hanson,21826,G,2015,2016,TULANE,12,100,0,319,89.4,87.3,90.6,88.8,5,4,387,100,100,98.8,2,9,0,721,0,721,0,0,0,0,721,398,398,323
Graham Shuler,17493,C,2015,2016,STANFORD,14,100,0,300,89.4,72.4,91.6,83.5,2,13,351,100,100,97.6,2,16,1,890,890,0,0,0,0,0,890,376,376,514
Beau Benzschawel,46801,G,2018,2019,WISCONSIN,13,100,0,349,89.3,88.5,88.9,88.7,0,4,323,100,100,98.8,3,6,2,845,0,0,0,845,0,0,845,342,342,503
Dalton Risner,47008,T,2017,2019,KANSAS ST,12,100,0,199,89.3,91.8,84.6,87.8,0,6,276,100,100,98.9,3,6,0,677,0,0,0,0,677,0,677,301,301,376
Valerian Ume-Ezeoke,9777,C,2014,2015,NEW MEX ST,12,100,1,242,89.3,91.3,87.5,89.5,1,2,435,100,100,99.7,4,3,0,863,863,0,0,0,0,0,863,449,449,414
Darian Kinnard,51789,T,2019,2022,KENTUCKY,13,100,0,202,89.2,69.1,89.1,81.7,0,8,244,100,100,96.7,1,12,4,706,0,0,0,0,706,0,706,261,261,445
Jonah Williams,41651,T,2018,2019,ALABAMA,15,100,0,103,89.2,88.6,83.6,86.3,2,10,466,100,100,98.7,4,12,0,908,0,4,904,0,0,0,908,482,482,426
Andy Kwon,22669,C,2015,2017,GA SOUTHRN,13,100,1,174,89.2,79.9,88.3,86.6,1,1,153,100,100,99.3,6,2,0,841,841,0,0,0,0,0,841,170,170,671
Brett Boyko,9742,T,2014,2015,UNLV,13,100,1,325,89.2,89.0,88.8,88.9,2,13,571,100,100,98,5,19,4,940,0,355,584,0,0,1,940,602,602,338
Michael Maietti,40939,C,2021,2022,MISSOURI,13,100,0,229,89.1,82.0,90.9,86.0,3,4,482,100,100,98.9,5,9,2,934,934,0,0,0,0,0,934,514,514,420
Evan Plagg,46373,T,2015,2018,TULSA,13,100,0,320,89.1,78.1,89.0,83.2,2,12,559,100,100,97.5,1,21,7,1130,0,0,1101,0,2,27,1130,599,599,531
Aidan Conlon,16489,G,2015,2016,N ILLINOIS,14,100,0,254,89.0,90.4,88.8,89.5,1,5,474,100,100,99.4,4,6,0,1048,0,1048,0,0,0,0,1048,490,490,558
Johnny Caspers,46828,G,2015,2017,STANFORD,14,100,0,300,89.0,83.2,89.2,86.8,0,9,355,100,100,98.7,1,9,0,941,51,0,0,890,0,0,941,380,380,561
Joe Thuney,10712,G,2014,2016,NC STATE,9,100,0,248,89.0,86.6,89.9,88.2,0,5,319,100,100,98.6,1,7,2,646,0,644,1,0,0,1,646,336,336,310
Jack Allen,11221,C,2015,2016,MICH STATE,12,99.9,0,223,88.9,74.5,89.9,82.6,4,6,369,100,100,98.1,0,12,2,827,739,8,65,10,0,2,828,391,391,436
Nolan Laufenberg,81539,G,2020,2021,AIR FORCE,5,100,0,101,88.8,86.1,86.8,86.7,0,0,51,100,100,100,0,0,0,267,0,267,0,0,0,0,267,54,54,213
Jedrick Wills Jr.,58467,T,2019,2020,ALABAMA,13,100,1,103,88.8,82.6,90.5,85.9,4,8,427,100,100,98.4,6,13,1,770,0,0,0,0,760,10,770,451,451,319
Max Tuerk,10700,C,2015,2016,USC,5,100,0,326,88.8,87.6,88.1,87.8,0,0,145,100,100,99.3,3,1,1,251,251,0,0,0,0,0,251,152,152,99
Tommy Hopkins,46024,G,2015,2018,UCONN,13,100,0,146,88.8,83.5,90.6,86.6,3,6,458,100,100,98.4,3,12,3,835,0,835,0,0,0,0,835,476,476,359
Nick Gates,29476,T,2015,2018,NEBRASKA,10,100,0,238,88.8,73.8,91.6,82.5,1,17,344,100.3,100.3,97.4,5,18,0,713,0,0,1,0,712,0,713,365,364,348
William Dunkle,81815,G,2020,2022,S DIEGO ST,5,100,1,284,88.7,69.7,90.4,82.1,0,2,142,100,100,99.3,3,2,0,367,0,0,0,365,0,0,367,148,148,219
Marco Brewer,131730,G,2021,2023,OREGON ST,10,100,0,265,88.6,57.7,93.3,76.5,2,5,245,100,100,98.6,5,7,0,560,0,515,15,0,30,0,560,264,264,296
Brett Toth,46848,T,2017,2018,ARMY,13,99.6,0,114,88.6,58.9,84.9,82.7,2,2,62,95.4,95.7,95.2,0,5,1,804,0,0,20,0,457,327,807,67,70,737
